country_1_name,country_1_id,country_2_name,country_2_id,any_wars
Haiti,41,Mauritius,590,No
Haiti,41,Morocco,600,No
Haiti,41,Algeria,615,No
Haiti,41,Tunisia,616,No
Haiti,41,Libya,620,No
Haiti,41,Sudan,625,No
Haiti,41,Iran,630,No
Haiti,41,Turkey,640,No
Haiti,41,Iraq,645,No
Haiti,41,Egypt,651,No
Haiti,41,Syria,652,No
Haiti,41,Lebanon,660,No
Haiti,41,Jordan,663,No
Haiti,41,Israel,666,No
Haiti,41,Saudi Arabia,670,No
Haiti,41,Kuwait,690,No
Haiti,41,Bahrain,692,No
Haiti,41,Qatar,694,No
Haiti,41,United Arab Emirates,696,No
Haiti,41,Oman,698,No
Haiti,41,Afghanistan,700,No
Haiti,41,China,710,No
Haiti,41,Mongolia,712,No
Haiti,41,Taiwan,713,No
Haiti,41,North Korea,731,No
Haiti,41,South Korea,732,No
Haiti,41,Japan,740,No
Haiti,41,India,750,No
Haiti,41,Bhutan,760,No
Haiti,41,Pakistan,770,No
Haiti,41,Bangladesh,771,No
Haiti,41,Myanmar (Burma),775,No
Haiti,41,Sri Lanka,780,No
Haiti,41,Nepal,790,No
Haiti,41,Thailand,800,No
Haiti,41,Cambodia,811,No
Haiti,41,Laos,812,No
Haiti,41,Vietnam,816,No
Haiti,41,Malaysia,820,No
Haiti,41,Singapore,830,No
Haiti,41,Philippines,840,No
Haiti,41,Indonesia,850,No
Haiti,41,Australia,900,No
Haiti,41,Papua New Guinea,910,No
Haiti,41,New Zealand,920,No
Haiti,41,Solomon Islands,940,No
Haiti,41,Fiji,950,No
Dominican Republic,42,Jamaica,51,No
Dominican Republic,42,Trinidad & Tobago,52,No
Dominican Republic,42,Mexico,70,No
Dominican Republic,42,Guatemala,90,No
Dominican Republic,42,Honduras,91,No
Dominican Republic,42,El Salvador,92,No
Dominican Republic,42,Nicaragua,93,No
Dominican Republic,42,Costa Rica,94,No
Dominican Republic,42,Panama,95,No
Dominican Republic,42,Colombia,100,No
Dominican Republic,42,Venezuela,101,No
Dominican Republic,42,Guyana,110,No
Dominican Republic,42,Suriname,115,No
Dominican Republic,42,Ecuador,130,No
Dominican Republic,42,Peru,135,No
Dominican Republic,42,Brazil,140,No
Dominican Republic,42,Bolivia,145,No
Dominican Republic,42,Paraguay,150,No
Dominican Republic,42,Chile,155,No
Dominican Republic,42,Argentina,160,No
Dominican Republic,42,Uruguay,165,No
Dominican Republic,42,United Kingdom,200,No
Dominican Republic,42,Ireland,205,No
Dominican Republic,42,Netherlands,210,No
Dominican Republic,42,Belgium,211,No
Dominican Republic,42,Luxembourg,212,No
Dominican Republic,42,France,220,No
Dominican Republic,42,Switzerland,225,No
Dominican Republic,42,Spain,230,No
Dominican Republic,42,Portugal,235,No
Dominican Republic,42,Poland,290,No
Dominican Republic,42,Austria,305,No
Dominican Republic,42,Hungary,310,No
Dominican Republic,42,Italy,325,No
Dominican Republic,42,Albania,339,No
Dominican Republic,42,Yugoslavia,345,No
Dominican Republic,42,Greece,350,No
Dominican Republic,42,Cyprus,352,No
Dominican Republic,42,Bulgaria,355,No
Dominican Republic,42,Romania,360,No
Dominican Republic,42,Russia,365,No
Dominican Republic,42,Finland,375,No
Dominican Republic,42,Sweden,380,No
Dominican Republic,42,Norway,385,No
Dominican Republic,42,Denmark,390,No
Dominican Republic,42,Cape Verde,402,No
Dominican Republic,42,Guinea-Bissau,404,No
Dominican Republic,42,Equatorial Guinea,411,No
Dominican Republic,42,Gambia,420,No
Dominican Republic,42,Mali,432,No
Dominican Republic,42,Senegal,433,No
Dominican Republic,42,Benin,434,No
Dominican Republic,42,Mauritania,435,No
Dominican Republic,42,Niger,436,No
Dominican Republic,42,Côte d’Ivoire,437,No
Dominican Republic,42,Guinea,438,No
Dominican Republic,42,Burkina Faso,439,No
Dominican Republic,42,Liberia,450,No
Dominican Republic,42,Sierra Leone,451,No
Dominican Republic,42,Ghana,452,No
Dominican Republic,42,Togo,461,No
Dominican Republic,42,Cameroon,471,No
Dominican Republic,42,Nigeria,475,No
Dominican Republic,42,Gabon,481,No
Dominican Republic,42,Central African Republic,482,No
Dominican Republic,42,Chad,483,No
Dominican Republic,42,Congo - Brazzaville,484,No
Dominican Republic,42,Congo - Kinshasa,490,No
Dominican Republic,42,Uganda,500,No
Dominican Republic,42,Kenya,501,No
Dominican Republic,42,Tanzania,510,No
Dominican Republic,42,Burundi,516,No
Dominican Republic,42,Rwanda,517,No
Dominican Republic,42,Somalia,520,No
Dominican Republic,42,Djibouti,522,No
Dominican Republic,42,Ethiopia,530,No
Dominican Republic,42,Angola,540,No
Dominican Republic,42,Mozambique,541,No
Dominican Republic,42,Zambia,551,No
Dominican Republic,42,Zimbabwe,552,No
Dominican Republic,42,Malawi,553,No
Dominican Republic,42,South Africa,560,No
Dominican Republic,42,Lesotho,570,No
Dominican Republic,42,Botswana,571,No
Dominican Republic,42,Eswatini,572,No
Dominican Republic,42,Madagascar,580,No
Dominican Republic,42,Comoros,581,No
Dominican Republic,42,Mauritius,590,No
Dominican Republic,42,Morocco,600,No
Dominican Republic,42,Algeria,615,No
Dominican Republic,42,Tunisia,616,No
Dominican Republic,42,Libya,620,No
Dominican Republic,42,Sudan,625,No
Dominican Republic,42,Iran,630,No
Dominican Republic,42,Turkey,640,No
Dominican Republic,42,Iraq,645,No
Dominican Republic,42,Egypt,651,No
Dominican Republic,42,Syria,652,No
Dominican Republic,42,Lebanon,660,No
Dominican Republic,42,Jordan,663,No
Dominican Republic,42,Israel,666,No
Dominican Republic,42,Saudi Arabia,670,No
Dominican Republic,42,Kuwait,690,No
Dominican Republic,42,Bahrain,692,No
Dominican Republic,42,Qatar,694,No
Dominican Republic,42,United Arab Emirates,696,No
Dominican Republic,42,Oman,698,No
Dominican Republic,42,Afghanistan,700,No
Dominican Republic,42,China,710,No
Dominican Republic,42,Mongolia,712,No
Dominican Republic,42,Taiwan,713,No
Dominican Republic,42,North Korea,731,No
Dominican Republic,42,South Korea,732,No
Dominican Republic,42,Japan,740,No
Dominican Republic,42,India,750,No
Dominican Republic,42,Bhutan,760,No
Dominican Republic,42,Pakistan,770,No
Dominican Republic,42,Bangladesh,771,No
Dominican Republic,42,Myanmar (Burma),775,No
Dominican Republic,42,Sri Lanka,780,No
Dominican Republic,42,Nepal,790,No
Dominican Republic,42,Thailand,800,No
Dominican Republic,42,Cambodia,811,No
Dominican Republic,42,Laos,812,No
Dominican Republic,42,Vietnam,816,No
Dominican Republic,42,Malaysia,820,No
Dominican Republic,42,Singapore,830,No
Dominican Republic,42,Philippines,840,No
Dominican Republic,42,Indonesia,850,No
Dominican Republic,42,Australia,900,No
Dominican Republic,42,Papua New Guinea,910,No
Dominican Republic,42,New Zealand,920,No
Dominican Republic,42,Solomon Islands,940,No
Dominican Republic,42,Fiji,950,No
Jamaica,51,Trinidad & Tobago,52,No
Jamaica,51,Mexico,70,No
Jamaica,51,Guatemala,90,No
Jamaica,51,Honduras,91,No
Jamaica,51,El Salvador,92,No
Jamaica,51,Nicaragua,93,No
Jamaica,51,Costa Rica,94,No
Jamaica,51,Panama,95,No
Jamaica,51,Colombia,100,No
Jamaica,51,Venezuela,101,No
Jamaica,51,Guyana,110,No
Jamaica,51,Suriname,115,No
Jamaica,51,Ecuador,130,No
Jamaica,51,Peru,135,No
Jamaica,51,Brazil,140,No
Jamaica,51,Bolivia,145,No
Jamaica,51,Paraguay,150,No
Jamaica,51,Chile,155,No
Jamaica,51,Argentina,160,No
Jamaica,51,Uruguay,165,No
Jamaica,51,United Kingdom,200,No
Jamaica,51,Ireland,205,No
Jamaica,51,Netherlands,210,No
Jamaica,51,Belgium,211,No
Jamaica,51,Luxembourg,212,No
Jamaica,51,France,220,No
Jamaica,51,Switzerland,225,No
Jamaica,51,Spain,230,No
Jamaica,51,Portugal,235,No
Jamaica,51,Poland,290,No
Jamaica,51,Austria,305,No
Jamaica,51,Hungary,310,No
Jamaica,51,Italy,325,No
Jamaica,51,Albania,339,No
Jamaica,51,Yugoslavia,345,No
Jamaica,51,Greece,350,No
Jamaica,51,Cyprus,352,No
Jamaica,51,Bulgaria,355,No
Jamaica,51,Romania,360,No
Jamaica,51,Russia,365,No
Jamaica,51,Finland,375,No
Jamaica,51,Sweden,380,No
Jamaica,51,Norway,385,No
Jamaica,51,Denmark,390,No
Jamaica,51,Cape Verde,402,No
Jamaica,51,Guinea-Bissau,404,No
Jamaica,51,Equatorial Guinea,411,No
Jamaica,51,Gambia,420,No
Jamaica,51,Mali,432,No
Jamaica,51,Senegal,433,No
Jamaica,51,Benin,434,No
Jamaica,51,Mauritania,435,No
Jamaica,51,Niger,436,No
Jamaica,51,Côte d’Ivoire,437,No
Jamaica,51,Guinea,438,No
Jamaica,51,Burkina Faso,439,No
Jamaica,51,Liberia,450,No
Jamaica,51,Sierra Leone,451,No
Jamaica,51,Ghana,452,No
Jamaica,51,Togo,461,No
Jamaica,51,Cameroon,471,No
Jamaica,51,Nigeria,475,No
Jamaica,51,Gabon,481,No
Jamaica,51,Central African Republic,482,No
Jamaica,51,Chad,483,No
Jamaica,51,Congo - Brazzaville,484,No
Jamaica,51,Congo - Kinshasa,490,No
Jamaica,51,Uganda,500,No
Jamaica,51,Kenya,501,No
Jamaica,51,Tanzania,510,No
Jamaica,51,Burundi,516,No
Jamaica,51,Rwanda,517,No
Jamaica,51,Somalia,520,No
Jamaica,51,Djibouti,522,No
Jamaica,51,Ethiopia,530,No
Jamaica,51,Angola,540,No
Jamaica,51,Mozambique,541,No
Jamaica,51,Zambia,551,No
Jamaica,51,Zimbabwe,552,No
Jamaica,51,Malawi,553,No
Jamaica,51,South Africa,560,No
Jamaica,51,Lesotho,570,No
Jamaica,51,Botswana,571,No
Jamaica,51,Eswatini,572,No
Jamaica,51,Madagascar,580,No
Jamaica,51,Comoros,581,No
Jamaica,51,Mauritius,590,No
Jamaica,51,Morocco,600,No
Jamaica,51,Algeria,615,No
Jamaica,51,Tunisia,616,No
Jamaica,51,Libya,620,No
Jamaica,51,Sudan,625,No
Jamaica,51,Iran,630,No
Jamaica,51,Turkey,640,No
Jamaica,51,Iraq,645,No
Jamaica,51,Egypt,651,No
Jamaica,51,Syria,652,No
Jamaica,51,Lebanon,660,No
Jamaica,51,Jordan,663,No
Jamaica,51,Israel,666,No
Jamaica,51,Saudi Arabia,670,No
Jamaica,51,Kuwait,690,No
Jamaica,51,Bahrain,692,No
Jamaica,51,Qatar,694,No
Jamaica,51,United Arab Emirates,696,No
Jamaica,51,Oman,698,No
Jamaica,51,Afghanistan,700,No
Jamaica,51,China,710,No
Jamaica,51,Mongolia,712,No
Jamaica,51,Taiwan,713,No
Jamaica,51,North Korea,731,No
Jamaica,51,South Korea,732,No
Jamaica,51,Japan,740,No
Jamaica,51,India,750,No
Jamaica,51,Bhutan,760,No
Jamaica,51,Pakistan,770,No
Jamaica,51,Bangladesh,771,No
Jamaica,51,Myanmar (Burma),775,No
Jamaica,51,Sri Lanka,780,No
Jamaica,51,Nepal,790,No
Jamaica,51,Thailand,800,No
Jamaica,51,Cambodia,811,No
Jamaica,51,Laos,812,No
Jamaica,51,Vietnam,816,No
Jamaica,51,Malaysia,820,No
Jamaica,51,Singapore,830,No
Jamaica,51,Philippines,840,No
Jamaica,51,Indonesia,850,No
Jamaica,51,Australia,900,No
Jamaica,51,Papua New Guinea,910,No
Jamaica,51,New Zealand,920,No
Jamaica,51,Solomon Islands,940,No
Jamaica,51,Fiji,950,No
Trinidad & Tobago,52,Mexico,70,No
Trinidad & Tobago,52,Guatemala,90,No
Trinidad & Tobago,52,Honduras,91,No
Trinidad & Tobago,52,El Salvador,92,No
Trinidad & Tobago,52,Nicaragua,93,No
Trinidad & Tobago,52,Costa Rica,94,No
Trinidad & Tobago,52,Panama,95,No
Trinidad & Tobago,52,Colombia,100,No
Trinidad & Tobago,52,Venezuela,101,No
